Ngày,Mã tỉnh,Tên tỉnh,Mã phường,Tên phường,Tổng chi phí bảo hiểm,Tổng chi phí thuốc,Tổng chi phí thuốc BHYT
01/09/2025,75,Đồng Nai,26050,Phường An Bình,5070369.0,0.0,0.0
01/09/2025,75,Đồng Nai,26056,Phường Long Bình Tân,136564297.0,0.0,0.0
01/09/2025,75,Đồng Nai,26095,Phường Suối Tre,347493937.1,0.0,0.0
01/09/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,128129762.6,0.0,0.0
01/09/2025,75,Đồng Nai,26272,Xã Hố Nai 3,34952974.0,0.0,0.0
01/09/2025,75,Đồng Nai,26311,Xã Quang Trung,29538774.0,0.0,0.0
01/09/2025,75,Đồng Nai,26341,Thị Trấn Long Giao,11474090.0,0.0,0.0
01/09/2025,75,Đồng Nai,26362,Xã Sông Ray,20019669.0,0.0,0.0
01/09/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,241706745.0,0.0,0.0
01/09/2025,75,Đồng Nai,26389,Xã Long Đức,3673917.0,0.0,0.0
01/09/2025,75,Đồng Nai,26497,Xã Vĩnh Thanh,13883018.0,0.0,0.0
01/10/2024,75,Đồng Nai,26248,Thị Trấn Trảng Bom,0.0,0.0,0.0
02/01/2025,75,Đồng Nai,26026,Phường Tân Mai,0.0,0.0,0.0
02/01/2025,75,Đồng Nai,26080,Phường Xuân An,0.0,0.0,0.0
02/01/2025,75,Đồng Nai,26341,Thị Trấn Long Giao,0.0,0.0,0.0
02/01/2025,75,Đồng Nai,26452,Xã Suối Cát,0.0,0.0,0.0
02/02/2022,75,Đồng Nai,26248,Thị Trấn Trảng Bom,0.0,0.0,0.0
02/02/2025,75,Đồng Nai,26026,Phường Tân Mai,0.0,0.0,0.0
02/02/2025,75,Đồng Nai,26248,Thị Trấn Trảng Bom,0.0,0.0,0.0
02/02/2025,75,Đồng Nai,26341,Thị Trấn Long Giao,0.0,0.0,0.0
02/02/2025,75,Đồng Nai,26452,Xã Suối Cát,0.0,0.0,0.0
02/03/2025,75,Đồng Nai,26026,Phường Tân Mai,0.0,0.0,0.0
02/03/2025,75,Đồng Nai,26248,Thị Trấn Trảng Bom,0.0,0.0,0.0
02/03/2025,75,Đồng Nai,26377,Phường Phước Tân,0.0,0.0,0.0
02/03/2025,75,Đồng Nai,26452,Xã Suối Cát,0.0,0.0,0.0
02/04/2025,75,Đồng Nai,25993,Phường Trảng Dài,0.0,0.0,0.0
02/04/2025,75,Đồng Nai,25996,Phường Tân Phong,0.0,0.0,0.0
02/04/2025,75,Đồng Nai,25999,Phường Tân Biên,0.0,0.0,0.0
02/04/2025,75,Đồng Nai,26068,Phường Hóa An,0.0,0.0,0.0
02/04/2025,75,Đồng Nai,26095,Phường Suối Tre,0.0,0.0,0.0
02/04/2025,75,Đồng Nai,26116,Thị Trấn Tân Phú,0.0,0.0,0.0
02/04/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,0.0,0.0,0.0
02/04/2025,75,Đồng Nai,26248,Thị Trấn Trảng Bom,0.0,0.0,0.0
02/04/2025,75,Đồng Nai,26272,Xã Hố Nai 3,0.0,0.0,0.0
02/04/2025,75,Đồng Nai,26326,Thị Trấn Dầu Giây,0.0,0.0,0.0
02/04/2025,75,Đồng Nai,26341,Thị Trấn Long Giao,0.0,0.0,0.0
02/04/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,0.0,0.0,0.0
02/04/2025,75,Đồng Nai,26377,Phường Phước Tân,0.0,0.0,0.0
02/04/2025,75,Đồng Nai,26452,Xã Suối Cát,0.0,0.0,0.0
02/05/2025,75,Đồng Nai,25996,Phường Tân Phong,0.0,0.0,0.0
02/05/2025,75,Đồng Nai,25999,Phường Tân Biên,0.0,0.0,0.0
02/05/2025,75,Đồng Nai,26017,Phường Tam Hiệp,0.0,0.0,0.0
02/05/2025,75,Đồng Nai,26029,Phường Thống Nhất,0.0,0.0,0.0
02/05/2025,75,Đồng Nai,26068,Phường Hóa An,0.0,0.0,0.0
02/05/2025,75,Đồng Nai,26095,Phường Suối Tre,0.0,0.0,0.0
02/05/2025,75,Đồng Nai,26116,Thị Trấn Tân Phú,0.0,0.0,0.0
02/05/2025,75,Đồng Nai,26188,Xã Thạnh Phú,0.0,0.0,0.0
02/05/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,0.0,0.0,0.0
02/05/2025,75,Đồng Nai,26272,Xã Hố Nai 3,0.0,0.0,0.0
02/05/2025,75,Đồng Nai,26275,Xã Tây Hoà,0.0,0.0,0.0
02/05/2025,75,Đồng Nai,26326,Thị Trấn Dầu Giây,0.0,0.0,0.0
02/05/2025,75,Đồng Nai,26362,Xã Sông Ray,0.0,0.0,0.0
02/05/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,0.0,0.0,0.0
02/05/2025,75,Đồng Nai,26377,Phường Phước Tân,13033637.0,0.0,0.0
02/05/2025,75,Đồng Nai,26383,Xã An Phước,0.0,0.0,0.0
02/05/2025,75,Đồng Nai,26416,Xã Phước Bình,0.0,0.0,0.0
02/05/2025,75,Đồng Nai,26440,Xã Xuân Trường,0.0,0.0,0.0
02/05/2025,75,Đồng Nai,26452,Xã Suối Cát,0.0,0.0,0.0
02/05/2025,75,Đồng Nai,26455,Xã Xuân Hiệp,0.0,0.0,0.0
02/05/2025,75,Đồng Nai,26497,Xã Vĩnh Thanh,0.0,0.0,0.0
02/06/2025,75,Đồng Nai,25996,Phường Tân Phong,206729995.77,0.0,0.0
02/06/2025,75,Đồng Nai,25999,Phường Tân Biên,0.0,0.0,0.0
02/06/2025,75,Đồng Nai,26002,Phường Hố Nai,0.0,0.0,0.0
02/06/2025,75,Đồng Nai,26017,Phường Tam Hiệp,0.0,0.0,0.0
02/06/2025,75,Đồng Nai,26020,Phường Long Bình,2251715.0,0.0,0.0
02/06/2025,75,Đồng Nai,26029,Phường Thống Nhất,0.0,0.0,0.0
02/06/2025,75,Đồng Nai,26035,Phường Tam Hòa,1712590.0,0.0,0.0
02/06/2025,75,Đồng Nai,26050,Phường An Bình,0.0,0.0,0.0
02/06/2025,75,Đồng Nai,26056,Phường Long Bình Tân,128779778.0,0.0,0.0
02/06/2025,75,Đồng Nai,26068,Phường Hóa An,14832528.0,0.0,0.0
02/06/2025,75,Đồng Nai,26095,Phường Suối Tre,705940249.0,0.0,0.0
02/06/2025,75,Đồng Nai,26188,Xã Thạnh Phú,0.0,0.0,0.0
02/06/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,356540184.0,0.0,0.0
02/06/2025,75,Đồng Nai,26239,Xã Túc Trưng,0.0,0.0,0.0
02/06/2025,75,Đồng Nai,26272,Xã Hố Nai 3,0.0,0.0,0.0
02/06/2025,75,Đồng Nai,26296,Xã An Viễn,0.0,0.0,0.0
02/06/2025,75,Đồng Nai,26299,Xã Gia Tân 1,0.0,0.0,0.0
02/06/2025,75,Đồng Nai,26311,Xã Quang Trung,0.0,0.0,0.0
02/06/2025,75,Đồng Nai,26317,Xã Hưng Lộc,0.0,0.0,0.0
02/06/2025,75,Đồng Nai,26326,Thị Trấn Dầu Giây,192170595.0,0.0,0.0
02/06/2025,75,Đồng Nai,26362,Xã Sông Ray,0.0,0.0,0.0
02/06/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,279096264.0,0.0,0.0
02/06/2025,75,Đồng Nai,26374,Phường Tam Phước,0.0,0.0,0.0
02/06/2025,75,Đồng Nai,26377,Phường Phước Tân,48453581.0,0.0,0.0
02/06/2025,75,Đồng Nai,26416,Xã Phước Bình,0.0,0.0,0.0
02/06/2025,75,Đồng Nai,26440,Xã Xuân Trường,0.0,0.0,0.0
02/06/2025,75,Đồng Nai,26452,Xã Suối Cát,5322920.0,0.0,0.0
02/06/2025,75,Đồng Nai,26455,Xã Xuân Hiệp,0.0,0.0,0.0
02/06/2025,75,Đồng Nai,26497,Xã Vĩnh Thanh,21123678.0,0.0,0.0
02/07/2024,75,Đồng Nai,26035,Phường Tam Hòa,0.0,0.0,0.0
