Ngày,Mã tỉnh,Tên tỉnh,Mã phường,Tên phường,Số ca chuyển tuyến,Số ca vượt tuyến,Lượt điều trị,Lượt tái khám,Lượt KCB BHYT,Số ca mắc mới
01/08/2024,75,Đồng Nai,26248,Thị Trấn Trảng Bom,0.0,0.0,1.0,0.0,1.0,1.0
01/08/2025,75,Đồng Nai,25993,Phường Trảng Dài,0.0,0.0,219.0,0.0,219.0,0.0
01/08/2025,75,Đồng Nai,25996,Phường Tân Phong,0.0,0.0,309.0,0.0,18.0,0.0
01/08/2025,75,Đồng Nai,26017,Phường Tam Hiệp,0.0,0.0,77.0,0.0,77.0,0.0
01/08/2025,75,Đồng Nai,26029,Phường Thống Nhất,0.0,0.0,99.0,0.0,99.0,0.0
01/08/2025,75,Đồng Nai,26050,Phường An Bình,0.0,0.0,96.0,0.0,96.0,0.0
01/08/2025,75,Đồng Nai,26056,Phường Long Bình Tân,0.0,0.0,943.0,0.0,943.0,0.0
01/08/2025,75,Đồng Nai,26068,Phường Hóa An,0.0,0.0,341.0,0.0,341.0,0.0
01/08/2025,75,Đồng Nai,26095,Phường Suối Tre,0.0,0.0,230.0,0.0,230.0,0.0
01/08/2025,75,Đồng Nai,26188,Xã Thạnh Phú,0.0,0.0,221.0,0.0,221.0,0.0
01/08/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,0.0,0.0,712.0,0.0,712.0,0.0
01/08/2025,75,Đồng Nai,26272,Xã Hố Nai 3,0.0,0.0,664.0,0.0,664.0,0.0
01/08/2025,75,Đồng Nai,26296,Xã An Viễn,0.0,0.0,91.0,0.0,91.0,0.0
01/08/2025,75,Đồng Nai,26311,Xã Quang Trung,0.0,0.0,151.0,0.0,151.0,0.0
01/08/2025,75,Đồng Nai,26317,Xã Hưng Lộc,0.0,0.0,31.0,0.0,31.0,0.0
01/08/2025,75,Đồng Nai,26341,Thị Trấn Long Giao,0.0,0.0,498.0,0.0,498.0,0.0
01/08/2025,75,Đồng Nai,26362,Xã Sông Ray,0.0,0.0,180.0,0.0,180.0,0.0
01/08/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,0.0,0.0,481.0,0.0,481.0,0.0
01/08/2025,75,Đồng Nai,26416,Xã Phước Bình,0.0,0.0,111.0,0.0,111.0,0.0
01/08/2025,75,Đồng Nai,26452,Xã Suối Cát,0.0,0.0,0.0,4.0,0.0,0.0
01/08/2025,75,Đồng Nai,26455,Xã Xuân Hiệp,0.0,0.0,336.0,0.0,336.0,0.0
01/09/2025,75,Đồng Nai,25993,Phường Trảng Dài,0.0,0.0,0.0,67.0,0.0,0.0
01/09/2025,75,Đồng Nai,25996,Phường Tân Phong,0.0,0.0,135.0,0.0,135.0,0.0
01/09/2025,75,Đồng Nai,26017,Phường Tam Hiệp,0.0,0.0,0.0,4.0,0.0,0.0
01/09/2025,75,Đồng Nai,26029,Phường Thống Nhất,0.0,0.0,7.0,0.0,7.0,0.0
01/09/2025,75,Đồng Nai,26050,Phường An Bình,0.0,0.0,20.0,0.0,20.0,0.0
01/09/2025,75,Đồng Nai,26056,Phường Long Bình Tân,0.0,0.0,67.0,0.0,67.0,0.0
01/09/2025,75,Đồng Nai,26095,Phường Suối Tre,0.0,0.0,214.0,0.0,211.0,0.0
01/09/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,0.0,0.0,68.0,0.0,68.0,0.0
01/09/2025,75,Đồng Nai,26272,Xã Hố Nai 3,0.0,0.0,136.0,0.0,136.0,0.0
01/09/2025,75,Đồng Nai,26311,Xã Quang Trung,0.0,0.0,106.0,0.0,106.0,0.0
01/09/2025,75,Đồng Nai,26341,Thị Trấn Long Giao,0.0,0.0,42.0,0.0,42.0,0.0
01/09/2025,75,Đồng Nai,26362,Xã Sông Ray,0.0,0.0,73.0,0.0,73.0,0.0
01/09/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,0.0,0.0,188.0,0.0,183.0,0.0
01/09/2025,75,Đồng Nai,26389,Xã Long Đức,0.0,0.0,18.0,0.0,18.0,0.0
01/09/2025,75,Đồng Nai,26497,Xã Vĩnh Thanh,0.0,0.0,51.0,0.0,51.0,0.0
01/10/2024,75,Đồng Nai,26248,Thị Trấn Trảng Bom,0.0,0.0,2.0,0.0,2.0,2.0
01/10/2025,75,Đồng Nai,25993,Phường Trảng Dài,0.0,0.0,0.0,67.0,0.0,0.0
02/01/2025,75,Đồng Nai,26026,Phường Tân Mai,0.0,0.0,1.0,0.0,1.0,1.0
02/01/2025,75,Đồng Nai,26080,Phường Xuân An,0.0,0.0,1.0,0.0,1.0,1.0
02/01/2025,75,Đồng Nai,26341,Thị Trấn Long Giao,0.0,0.0,735.0,0.0,735.0,735.0
02/01/2025,75,Đồng Nai,26452,Xã Suối Cát,106.0,0.0,830.0,0.0,830.0,830.0
02/02/2022,75,Đồng Nai,26248,Thị Trấn Trảng Bom,0.0,0.0,1.0,0.0,1.0,1.0
02/02/2025,75,Đồng Nai,26026,Phường Tân Mai,8.0,0.0,87.0,0.0,87.0,87.0
02/02/2025,75,Đồng Nai,26248,Thị Trấn Trảng Bom,0.0,0.0,64.0,0.0,64.0,64.0
02/02/2025,75,Đồng Nai,26341,Thị Trấn Long Giao,0.0,0.0,34.0,0.0,34.0,34.0
02/02/2025,75,Đồng Nai,26452,Xã Suối Cát,0.0,0.0,70.0,30.0,70.0,70.0
02/03/2025,75,Đồng Nai,26026,Phường Tân Mai,20.0,0.0,148.0,0.0,148.0,148.0
02/03/2025,75,Đồng Nai,26248,Thị Trấn Trảng Bom,0.0,0.0,200.0,0.0,200.0,200.0
02/03/2025,75,Đồng Nai,26377,Phường Phước Tân,0.0,0.0,1.0,0.0,1.0,1.0
02/03/2025,75,Đồng Nai,26452,Xã Suối Cát,0.0,0.0,47.0,84.0,47.0,47.0
02/04/2025,75,Đồng Nai,25993,Phường Trảng Dài,0.0,0.0,176.0,0.0,176.0,176.0
02/04/2025,75,Đồng Nai,25996,Phường Tân Phong,0.0,0.0,51.0,0.0,51.0,51.0
02/04/2025,75,Đồng Nai,25999,Phường Tân Biên,0.0,0.0,8.0,0.0,8.0,8.0
02/04/2025,75,Đồng Nai,26068,Phường Hóa An,0.0,0.0,2.0,0.0,2.0,2.0
02/04/2025,75,Đồng Nai,26095,Phường Suối Tre,0.0,0.0,42.0,0.0,42.0,42.0
02/04/2025,75,Đồng Nai,26116,Thị Trấn Tân Phú,0.0,0.0,406.0,0.0,406.0,406.0
02/04/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,0.0,0.0,27.0,0.0,27.0,27.0
02/04/2025,75,Đồng Nai,26248,Thị Trấn Trảng Bom,0.0,0.0,84.0,0.0,84.0,84.0
02/04/2025,75,Đồng Nai,26272,Xã Hố Nai 3,6.0,0.0,426.0,0.0,426.0,426.0
02/04/2025,75,Đồng Nai,26326,Thị Trấn Dầu Giây,0.0,0.0,512.0,0.0,512.0,512.0
02/04/2025,75,Đồng Nai,26341,Thị Trấn Long Giao,0.0,0.0,4.0,0.0,4.0,4.0
02/04/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,0.0,0.0,37.0,0.0,37.0,37.0
02/04/2025,75,Đồng Nai,26377,Phường Phước Tân,0.0,0.0,3.0,0.0,3.0,3.0
02/04/2025,75,Đồng Nai,26452,Xã Suối Cát,20.0,0.0,664.0,106.0,664.0,664.0
02/05/2025,75,Đồng Nai,25996,Phường Tân Phong,3.0,0.0,446.0,0.0,446.0,446.0
02/05/2025,75,Đồng Nai,25999,Phường Tân Biên,0.0,0.0,11.0,0.0,11.0,11.0
02/05/2025,75,Đồng Nai,26017,Phường Tam Hiệp,0.0,0.0,198.0,0.0,198.0,198.0
02/05/2025,75,Đồng Nai,26029,Phường Thống Nhất,0.0,0.0,29.0,0.0,29.0,29.0
02/05/2025,75,Đồng Nai,26068,Phường Hóa An,0.0,0.0,268.0,0.0,224.0,268.0
02/05/2025,75,Đồng Nai,26095,Phường Suối Tre,1.0,0.0,153.0,0.0,153.0,153.0
