Ngày,Mã tỉnh,Tên tỉnh,Mã phường,Tên phường,Lượt khám chữa bệnh
02/07/2025,75,Đồng Nai,26296,Xã An Viễn,90
02/07/2025,75,Đồng Nai,26299,Xã Gia Tân 1,52
02/07/2025,75,Đồng Nai,26311,Xã Quang Trung,147
02/07/2025,75,Đồng Nai,26317,Xã Hưng Lộc,81
02/07/2025,75,Đồng Nai,26326,Thị Trấn Dầu Giây,18
02/07/2025,75,Đồng Nai,26362,Xã Sông Ray,165
02/07/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,516
02/07/2025,75,Đồng Nai,26374,Phường Tam Phước,13
02/07/2025,75,Đồng Nai,26377,Phường Phước Tân,33
02/07/2025,75,Đồng Nai,26416,Xã Phước Bình,18
02/07/2025,75,Đồng Nai,26452,Xã Suối Cát,599
02/07/2025,75,Đồng Nai,26455,Xã Xuân Hiệp,338
02/07/2025,75,Đồng Nai,26497,Xã Vĩnh Thanh,48
02/08/2024,75,Đồng Nai,26248,Thị Trấn Trảng Bom,1
02/08/2025,75,Đồng Nai,25993,Phường Trảng Dài,4
02/08/2025,75,Đồng Nai,25996,Phường Tân Phong,415
02/08/2025,75,Đồng Nai,26017,Phường Tam Hiệp,80
02/08/2025,75,Đồng Nai,26029,Phường Thống Nhất,361
02/08/2025,75,Đồng Nai,26050,Phường An Bình,66
02/08/2025,75,Đồng Nai,26056,Phường Long Bình Tân,1022
02/08/2025,75,Đồng Nai,26068,Phường Hóa An,191
02/08/2025,75,Đồng Nai,26095,Phường Suối Tre,206
02/08/2025,75,Đồng Nai,26188,Xã Thạnh Phú,121
02/08/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,234
02/08/2025,75,Đồng Nai,26272,Xã Hố Nai 3,686
02/08/2025,75,Đồng Nai,26296,Xã An Viễn,66
02/08/2025,75,Đồng Nai,26311,Xã Quang Trung,155
02/08/2025,75,Đồng Nai,26317,Xã Hưng Lộc,38
02/08/2025,75,Đồng Nai,26362,Xã Sông Ray,161
02/08/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,64
02/08/2025,75,Đồng Nai,26416,Xã Phước Bình,91
02/08/2025,75,Đồng Nai,26455,Xã Xuân Hiệp,379
02/09/2025,75,Đồng Nai,25996,Phường Tân Phong,27
02/09/2025,75,Đồng Nai,26029,Phường Thống Nhất,7
02/09/2025,75,Đồng Nai,26050,Phường An Bình,6
02/09/2025,75,Đồng Nai,26056,Phường Long Bình Tân,225
02/09/2025,75,Đồng Nai,26095,Phường Suối Tre,533
02/09/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,91
02/09/2025,75,Đồng Nai,26272,Xã Hố Nai 3,60
02/09/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,158
02/10/2023,75,Đồng Nai,26248,Thị Trấn Trảng Bom,1
02/10/2024,75,Đồng Nai,26248,Thị Trấn Trảng Bom,1
03/01/2025,75,Đồng Nai,26080,Phường Xuân An,6
03/01/2025,75,Đồng Nai,26248,Thị Trấn Trảng Bom,1
03/01/2025,75,Đồng Nai,26341,Thị Trấn Long Giao,618
03/01/2025,75,Đồng Nai,26452,Xã Suối Cát,825
03/02/2025,75,Đồng Nai,26026,Phường Tân Mai,603
03/02/2025,75,Đồng Nai,26080,Phường Xuân An,5
03/02/2025,75,Đồng Nai,26248,Thị Trấn Trảng Bom,189
03/02/2025,75,Đồng Nai,26341,Thị Trấn Long Giao,544
03/02/2025,75,Đồng Nai,26452,Xã Suối Cát,633
03/03/2025,75,Đồng Nai,25996,Phường Tân Phong,2
03/03/2025,75,Đồng Nai,26026,Phường Tân Mai,1184
03/03/2025,75,Đồng Nai,26080,Phường Xuân An,5
03/03/2025,75,Đồng Nai,26248,Thị Trấn Trảng Bom,970
03/03/2025,75,Đồng Nai,26254,Xã Cây Gáo,1
03/03/2025,75,Đồng Nai,26377,Phường Phước Tân,1
03/03/2025,75,Đồng Nai,26452,Xã Suối Cát,814
03/04/2025,75,Đồng Nai,25993,Phường Trảng Dài,185
03/04/2025,75,Đồng Nai,25996,Phường Tân Phong,61
03/04/2025,75,Đồng Nai,25999,Phường Tân Biên,10
03/04/2025,75,Đồng Nai,26026,Phường Tân Mai,2
03/04/2025,75,Đồng Nai,26095,Phường Suối Tre,53
03/04/2025,75,Đồng Nai,26116,Thị Trấn Tân Phú,414
03/04/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,33
03/04/2025,75,Đồng Nai,26248,Thị Trấn Trảng Bom,423
03/04/2025,75,Đồng Nai,26272,Xã Hố Nai 3,412
03/04/2025,75,Đồng Nai,26326,Thị Trấn Dầu Giây,461
03/04/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,16
03/04/2025,75,Đồng Nai,26377,Phường Phước Tân,4
03/04/2025,75,Đồng Nai,26440,Xã Xuân Trường,13
03/04/2025,75,Đồng Nai,26452,Xã Suối Cát,619
03/05/2024,75,Đồng Nai,26248,Thị Trấn Trảng Bom,1
03/05/2025,75,Đồng Nai,25996,Phường Tân Phong,265
03/05/2025,75,Đồng Nai,25999,Phường Tân Biên,10
03/05/2025,75,Đồng Nai,26017,Phường Tam Hiệp,54
03/05/2025,75,Đồng Nai,26029,Phường Thống Nhất,29
03/05/2025,75,Đồng Nai,26068,Phường Hóa An,147
03/05/2025,75,Đồng Nai,26095,Phường Suối Tre,145
03/05/2025,75,Đồng Nai,26116,Thị Trấn Tân Phú,24
03/05/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,64
03/05/2025,75,Đồng Nai,26272,Xã Hố Nai 3,148
03/05/2025,75,Đồng Nai,26296,Xã An Viễn,1
03/05/2025,75,Đồng Nai,26326,Thị Trấn Dầu Giây,54
03/05/2025,75,Đồng Nai,26362,Xã Sông Ray,87
03/05/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,46
03/05/2025,75,Đồng Nai,26374,Phường Tam Phước,9
03/05/2025,75,Đồng Nai,26377,Phường Phước Tân,5
03/05/2025,75,Đồng Nai,26416,Xã Phước Bình,6
03/05/2025,75,Đồng Nai,26440,Xã Xuân Trường,60
03/05/2025,75,Đồng Nai,26452,Xã Suối Cát,16
03/05/2025,75,Đồng Nai,26455,Xã Xuân Hiệp,351
03/05/2025,75,Đồng Nai,26497,Xã Vĩnh Thanh,80
03/06/2025,75,Đồng Nai,25996,Phường Tân Phong,199
03/06/2025,75,Đồng Nai,25999,Phường Tân Biên,4
03/06/2025,75,Đồng Nai,26017,Phường Tam Hiệp,84
03/06/2025,75,Đồng Nai,26020,Phường Long Bình,78
03/06/2025,75,Đồng Nai,26029,Phường Thống Nhất,320
03/06/2025,75,Đồng Nai,26050,Phường An Bình,33
03/06/2025,75,Đồng Nai,26056,Phường Long Bình Tân,11
03/06/2025,75,Đồng Nai,26068,Phường Hóa An,387
03/06/2025,75,Đồng Nai,26095,Phường Suối Tre,1163
03/06/2025,75,Đồng Nai,26188,Xã Thạnh Phú,31
03/06/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,508
03/06/2025,75,Đồng Nai,26239,Xã Túc Trưng,110
03/06/2025,75,Đồng Nai,26272,Xã Hố Nai 3,204
03/06/2025,75,Đồng Nai,26296,Xã An Viễn,124
03/06/2025,75,Đồng Nai,26299,Xã Gia Tân 1,37
03/06/2025,75,Đồng Nai,26311,Xã Quang Trung,126
03/06/2025,75,Đồng Nai,26317,Xã Hưng Lộc,70
03/06/2025,75,Đồng Nai,26326,Thị Trấn Dầu Giây,556
03/06/2025,75,Đồng Nai,26362,Xã Sông Ray,81
03/06/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,574
03/06/2025,75,Đồng Nai,26374,Phường Tam Phước,75
03/06/2025,75,Đồng Nai,26377,Phường Phước Tân,24
03/06/2025,75,Đồng Nai,26416,Xã Phước Bình,9
03/06/2025,75,Đồng Nai,26440,Xã Xuân Trường,55
03/06/2025,75,Đồng Nai,26452,Xã Suối Cát,578
03/06/2025,75,Đồng Nai,26455,Xã Xuân Hiệp,342
03/06/2025,75,Đồng Nai,26485,Xã Phú Hội,1
03/06/2025,75,Đồng Nai,26497,Xã Vĩnh Thanh,66
03/07/2024,75,Đồng Nai,26035,Phường Tam Hòa,8
03/07/2024,75,Đồng Nai,26206,Thị Trấn Định Quán,1
03/07/2025,75,Đồng Nai,25993,Phường Trảng Dài,127
03/07/2025,75,Đồng Nai,25996,Phường Tân Phong,57
03/07/2025,75,Đồng Nai,26017,Phường Tam Hiệp,90
03/07/2025,75,Đồng Nai,26029,Phường Thống Nhất,11
03/07/2025,75,Đồng Nai,26050,Phường An Bình,69
03/07/2025,75,Đồng Nai,26056,Phường Long Bình Tân,13
